TYPE,NAME,FIPS,STATE_ABBREV,LON,LAT,CE_LIVES,NZ_LIVES,CE_COST,NZ_COST
town,"Lincolnville, SC",4541740,SC,-80.15607741561952,33.00773696628018,11.0,25.0,4836600.1107878415,11692168.590374567
town,"Summerville, SC",4570270,SC,-80.17938408209459,33.00515684778843,403.0,952.0,184393329.81695986,445758973.19930565
city,"North Charleston, SC",4550875,SC,-80.07385251985038,32.91009151383057,897.0,2121.0,410906068.7343061,993338899.3093647
town,"Lynchburg, SC",4543360,SC,-80.07697404677374,34.06000460905308,3.0,8.0,1565746.8155262333,3785091.865697529
city,"Bishopville, SC",4506310,SC,-80.24820012093582,34.22030684888293,30.0,72.0,13878583.02976918,33550578.683905326
town,"Mount Pleasant, SC",4548535,SC,-79.8230343027119,32.853827461723746,625.0,1478.0,286420999.27266407,692404278.7515122
town,"McClellanville, SC",4543585,SC,-79.46809829627954,33.086786398605355,5.0,11.0,2073999.708524278,5013760.429431806
town,"Awendaw, SC",4503385,SC,-79.6464132113025,32.982541785203004,12.0,28.0,5517003.177220708,13336999.086986583
city,"Goose Creek, SC",4529815,SC,-80.00620455867559,32.992089468335195,342.0,809.0,156796017.4898967,379044251.9120243
town,"Pawleys Island, SC",4555015,SC,-79.12451650233209,33.426687104111515,1.0,2.0,426276.61993384367,1030496.2147448772
city,"Georgetown, SC",4528870,SC,-79.29597043974819,33.35954016762521,83.0,197.0,38192745.62061111,92328497.39416121
town,"Andrews, SC",4501450,SC,-79.56596984554562,33.44942678531585,25.0,59.0,11345516.192085378,27427053.100132886
town,"Timmonsville, SC",4571980,SC,-79.94186264140828,34.134362923553226,22.0,51.0,9968314.804606805,24097757.637110967
town,"Olanta, SC",4552540,SC,-79.93195860348398,33.935703619016685,5.0,12.0,2377311.9188618204,5746998.120692583
town,"Lamar, SC",4539805,SC,-80.06497220513418,34.169083757843836,9.0,22.0,4205382.808193496,10166241.50315619
town,"Mayesville, SC",4545295,SC,-80.20444322546987,33.98491191399477,6.0,15.0,2959343.4576176456,7154021.79851732
city,"Clinton, NC",3713240,NC,-78.3320235696428,35.00072213151099,57.0,170.0,25893845.613763675,81205634.16724433
CDP,"Germanton, NC",3725880,NC,-80.23595575793048,36.25867408114167,5.0,16.0,2466789.0156067666,7736091.786330216
town,"Stanardsville, VA",5175008,VA,-78.43677758000526,38.29906430794787,2.0,7.0,980624.2373212432,3276472.4203712097
