TYPE,NAME,FIPS,STATE_ABBREV,LON,LAT,CE_LIVES,NZ_LIVES,CE_COST,NZ_COST
village,"Middleville, MI",2653760,MI,-85.46914287394986,42.713838734721705,24.0,82.0,8743552.371706938,30084966.10176554
village,"Allouez, WI",5501150,WI,-88.02618069680736,44.472115650235224,113.0,420.0,40560879.605725855,157637455.39326224
city,"Grant, MN",2725334,MN,-92.9090715353008,45.08256709466577,31.0,147.0,11061080.045962272,54140194.389217034
village,"McFarland, WI",5546850,WI,-89.2916624747725,43.018963799103396,63.0,236.0,22727781.588489182,88330176.54374301
city,"Midland, MI",2653780,MI,-84.23201712065661,43.623474406237406,296.0,987.0,105838118.02321218,364169625.52960426
village,"Theresa, WI",5579375,WI,-88.45402824950659,43.51649425981631,10.0,38.0,3632188.807574571,14116286.596829992
village,"Richland, MI",2668240,MI,-85.4552673006041,42.37622937561712,5.0,18.0,1901208.4617767811,6541710.930905989
village,"Hollandale, WI",5535400,WI,-89.93420932151848,42.875619885887346,2.0,9.0,839745.9475944377,3263622.8711594283
CDP,"Meyer, IA",1951510,IA,-92.70106349526736,43.46181311907144,0.0,2.0,115112.20809897089,832752.1214427743
city,"Dellwood, MN",2715616,MN,-92.96712084271134,45.09845113917601,8.0,38.0,2862051.1246129754,14008758.963369697
village,"Lake Delton, WI",5541300,WI,-89.78574420048841,43.59359622259586,23.0,87.0,8388831.949085532,32602698.339630324
village,"Wrightstown, WI",5589150,WI,-88.17463513710321,44.32616114323477,24.0,87.0,8426217.8988072,32747996.61814084
city,"Fitchburg, WI",5525950,WI,-89.42542881123751,42.98589097592475,209.0,776.0,74817912.91992086,290775385.6715195
CDP,"Byron Center, MI",2612280,MI,-85.72792966514386,42.812124143284265,42.0,140.0,15009012.44758873,51643269.40704676
city,"Waukesha, WI",5584250,WI,-88.24576791457234,43.009333222672986,577.0,2140.0,206471096.94363925,802437685.0509971
city,"Birchwood Village, MN",2706058,MN,-92.97792030530053,45.059905293930605,7.0,31.0,2341435.481609682,11460523.890741814
village,"Neosho, WI",5556075,WI,-88.51925199041054,43.310141274192546,5.0,18.0,1690995.2643340048,6571952.90493748
CDP,"Cutlerville, MI",2619500,MI,-85.6738915204341,42.84060107765251,102.0,340.0,36461566.502439395,125457588.13005325
CDP,"Burr Oak, IA",1909640,IA,-91.8619274368402,43.457984024034616,2.0,12.0,646113.6841684172,4674157.068743314
village,"Oxford, WI",5560875,WI,-89.56245514505407,43.77973176910143,5.0,18.0,1760015.4792047807,6840195.880649214
village,"Howard, WI",5535950,WI,-88.09243595819288,44.570427685792204,146.0,543.0,52432356.56349927,203775247.21568048
village,"DeForest, WI",5519350,WI,-89.34283362531163,43.232398856350464,73.0,270.0,26055131.113717828,101261723.33117953
village,"Wales, WI",5583175,WI,-88.3739321582792,43.00447127359101,21.0,77.0,7454183.206043776,28970241.376867253
village,"Spring Valley, WI",5576300,WI,-92.24359717747029,44.84993558254969,11.0,41.0,3971538.197355885,15435147.894079352
city,"Harrison, MI",2636800,MI,-84.8079854276524,44.01682686690836,15.0,50.0,5375052.418981058,18494573.251888566
village,"Wheeler, WI",5586575,WI,-91.90400414715982,45.04391693213288,3.0,10.0,1009420.6424850948,3923053.5197841073
village,"Oregon, WI",5560200,WI,-89.38885893472892,42.92523734467707,77.0,287.0,27728871.324334137,107766615.49218906
city,"Montello, WI",5553875,WI,-89.33358745867052,43.79387715325127,12.0,45.0,4348273.53685887,16899307.469839234
village,"Dane, WI",5518700,WI,-89.4995210070965,43.25011533961403,8.0,31.0,3011006.873737591,11702099.81542439
CDP,"Dyckesville, WI",5521375,WI,-87.76511916845213,44.64041633857255,4.0,16.0,1578837.4151689943,6136058.0694059115
city,"Harmony, MN",2727188,MN,-92.00758374144881,43.553936803359406,8.0,36.0,2701861.6959965774,13224686.633330349
city,"Mayville, WI",5550200,WI,-88.54697638730026,43.498731551140246,43.0,159.0,15322487.701312207,59549940.60800491
village,"Sussex, WI",5578750,WI,-88.22293955486306,43.134188670497345,85.0,317.0,30550072.607177097,118731047.12440619
village,"Farwell, MI",2627500,MI,-84.86772364253824,43.83621410428635,6.0,21.0,2214732.284629152,7620489.118720301
city,"Menomonie, WI",5551025,WI,-91.90874662793155,44.88926252127109,132.0,490.0,47296102.24019905,183813499.10646564
city,"Evansville, WI",5524550,WI,-89.29676321925069,42.77827346461505,41.0,153.0,14773201.824632283,57415173.5929657
city,"Canton, MN",2709802,MN,-91.92996385652238,43.529622803799946,3.0,14.0,1075938.995540139,5266352.483430958
village,"Cross Plains, WI",5517775,WI,-89.64819565977629,43.115090108755574,29.0,108.0,10376038.968906615,40325860.68199732
CDP,"Sobieski, WI",5574500,WI,-88.0658818223897,44.72274928421776,2.0,8.0,764974.0481510974,2973026.3141383836
village,"Lowell, WI",5545950,WI,-88.81840228265833,43.3363500738929,3.0,10.0,966283.0081908598,3755401.6599642737
village,"Endeavor, WI",5524075,WI,-89.46952133886573,43.71630381280471,4.0,14.0,1357397.5591252556,5275445.188997433
CDP,"Beechwood, MI",2606880,MI,-86.12739845423043,42.79613309139208,21.0,70.0,7552161.844867925,25985608.988071155
village,"Knapp, WI",5539975,WI,-92.07702967368093,44.951375533282636,4.0,14.0,1317135.767117303,5118970.119832254
village,"New Glarus, WI",5556700,WI,-89.6336365268887,42.812881990610535,19.0,69.0,6677705.788747549,25952507.900110245
village,"Westfield, WI",5585575,WI,-89.49272756665911,43.88506530460742,10.0,38.0,3640816.3344334187,14149816.96879396
village,"Wyocena, WI",5589300,WI,-89.30974141042678,43.49297432853956,6.0,22.0,2151130.030139176,8360239.409682372
CDP,"Beal City, MI",2606360,MI,-84.9086143212322,43.66920863781594,2.0,8.0,885391.2757350972,3046469.602387618
village,"Downing, WI",5520675,WI,-92.12432748006042,45.04976435657258,2.0,8.0,785104.9441550737,3051263.8487209724
CDP,"Abrams, WI",5500150,WI,-88.06038202397127,44.779625223054076,3.0,10.0,989289.7464811184,3844815.9852015185
city,"New Berlin, WI",5556375,WI,-88.12915064363908,42.972559822606975,319.0,1185.0,114308979.1951497,444255074.9412499
village,"Poynette, WI",5564900,WI,-89.40584313368531,43.39210055543073,21.0,77.0,7393790.518031848,28735528.773119483
CDP,"Lake Arrowhead, WI",5541160,WI,-89.8389466781545,44.203033799819245,7.0,25.0,2415707.5204771496,9388504.149910685
village,"Boyceville, WI",5509050,WI,-92.03884535811946,45.042835630489925,9.0,33.0,3189309.095487094,12395060.836013034
CDP,"Forest Junction, WI",5526575,WI,-88.14939148062263,44.21393502078192,5.0,19.0,1854918.274652097,7209029.972252847
village,"Monticello, WI",5554000,WI,-89.58984935073333,42.745756403411754,11.0,39.0,3784608.448747535,14708656.50152674
village,"Browntown, WI",5510475,WI,-89.78936242281205,42.57878082176592,2.0,8.0,808111.6824453322,3140678.173958217
CDP,"Angelica, WI",5501950,WI,-88.3215686044659,44.675039104480625,1.0,3.0,267453.3326242559,1039441.5308829688
CDP,"Arkdale, WI",5502725,WI,-89.88615840361793,44.0251998456046,1.0,5.0,468762.29266401834,1821816.876708859
village,"Wilson, WI",5587475,WI,-92.17059016917949,44.95825170991088,1.0,5.0,529154.980675947,2056529.480456626
city,"Portage, WI",5564100,WI,-89.46573260147814,43.5488644223891,85.0,315.0,30429287.231153242,118261621.91691066
village,"Brooklyn, WI",5510075,WI,-89.37280285898093,42.85302235116359,11.0,42.0,4069316.835089484,15815158.776337642
CDP,"Weidman, MI",2685140,MI,-84.9745489067917,43.70141706191569,7.0,22.0,2410371.150089032,8293646.707916432
city,"Glenwood City, WI",5529625,WI,-92.17121496335524,45.05702321338009,10.0,38.0,3658071.3881511125,14216877.712721895
CDP,"Green Valley, WI",5531475,WI,-88.26815582017107,44.7969345224761,1.0,4.0,385362.8663618311,1497689.9477238473
village,"Belleville, WI",5506300,WI,-89.53990766652794,42.863928518228455,20.0,72.0,6994048.440238605,27181954.872122362
CDP,"Delwood, WI",5519600,WI,-89.93405445354443,43.954536056378636,5.0,17.0,1630602.5763220761,6337240.301189711
